	Uniprot	ProteinName	Reviewed	GeneName	CommonPathways_KEGG_2019_Human	Pathways_KEGG_2019_Human	PathwaysDB_KEGG_2019_Human	CommonPathways_WikiPathways_2019_Human	Pathways_WikiPathways_2019_Human	PathwaysDB_WikiPathways_2019_Human	CommonPathways_Reactome_2016	Pathways_Reactome_2016	PathwaysDB_Reactome_2016
0	P01111	GTPase NRas	Swiss-Prot	NRAS	7.0	['hsa04072', 'hsa04916', 'hsa04211', 'hsa04926', 'hsa04068', 'hsa04910', 'hsa04917']	KEGG_2019_Human	1.0	[' WP4321']	WikiPathways_2019_Human			
1	I1SRC5		TrEMBL		7.0	['hsa04072', 'hsa04916', 'hsa04211', 'hsa04926', 'hsa04068', 'hsa04910', 'hsa04917']	KEGG_2019_Human						
2	P31749	RAC-alpha serine/threonine-protein kinase	Swiss-Prot	AKT1	7.0	['hsa04923', 'hsa04072', 'hsa04211', 'hsa04926', 'hsa04068', 'hsa04910', 'hsa04917']	KEGG_2019_Human	3.0	[' WP481', ' WP3915', ' WP61']	WikiPathways_2019_Human			
3	P31751	RAC-beta serine/threonine-protein kinase	Swiss-Prot	AKT2	7.0	['hsa04923', 'hsa04072', 'hsa04211', 'hsa04926', 'hsa04068', 'hsa04910', 'hsa04917']	KEGG_2019_Human	2.0	[' WP481', ' WP3915']	WikiPathways_2019_Human			
4	P01116	GTPase KRas	Swiss-Prot	KRAS	7.0	['hsa04072', 'hsa04916', 'hsa04211', 'hsa04926', 'hsa04068', 'hsa04910', 'hsa04917']	KEGG_2019_Human	1.0	[' WP4321']	WikiPathways_2019_Human			
5	Q92569	Phosphatidylinositol 3-kinase regulatory subunit gamma	Swiss-Prot	PIK3R3	7.0	['hsa04923', 'hsa04072', 'hsa04211', 'hsa04926', 'hsa04068', 'hsa04910', 'hsa04917']	KEGG_2019_Human	2.0	[' WP481', ' WP3915']	WikiPathways_2019_Human			
6	D3DT10		TrEMBL	PRKACB	7.0	['hsa04923', 'hsa04916', 'hsa04211', 'hsa04926', 'hsa04910', 'hsa04962', 'hsa04727']	KEGG_2019_Human						
7	P01112	GTPase HRas	Swiss-Prot	HRAS	7.0	['hsa04072', 'hsa04916', 'hsa04211', 'hsa04926', 'hsa04068', 'hsa04910', 'hsa04917']	KEGG_2019_Human	3.0	[' WP481', ' WP3915', ' WP4321']	WikiPathways_2019_Human			
8	O60503	Adenylate cyclase type 9	Swiss-Prot	ADCY9	7.0	['hsa04923', 'hsa04072', 'hsa04916', 'hsa04211', 'hsa04926', 'hsa04962', 'hsa04727']	KEGG_2019_Human	2.0	[' WP4222', ' WP4321']	WikiPathways_2019_Human	5.0	['R-HSA-170660', 'R-HSA-170670', 'R-HSA-163615', 'R-HSA-111931', 'R-HSA-164378']	Reactome_2016
9	P22694	cAMP-dependent protein kinase catalytic subunit beta	Swiss-Prot	PRKACB	7.0	['hsa04923', 'hsa04916', 'hsa04211', 'hsa04926', 'hsa04910', 'hsa04962', 'hsa04727']	KEGG_2019_Human	1.0	[' WP4321']	WikiPathways_2019_Human	3.0	['R-HSA-163615', 'R-HSA-111931', 'R-HSA-164378']	Reactome_2016
10	O00329	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	Swiss-Prot	PIK3CD	7.0	['hsa04923', 'hsa04072', 'hsa04211', 'hsa04926', 'hsa04068', 'hsa04910', 'hsa04917']	KEGG_2019_Human	2.0	[' WP481', ' WP3915']	WikiPathways_2019_Human			
11	O43306	Adenylate cyclase type 6	Swiss-Prot	ADCY6	7.0	['hsa04923', 'hsa04072', 'hsa04916', 'hsa04211', 'hsa04926', 'hsa04962', 'hsa04727']	KEGG_2019_Human	2.0	[' WP4222', ' WP4321']	WikiPathways_2019_Human	5.0	['R-HSA-170660', 'R-HSA-170670', 'R-HSA-163615', 'R-HSA-111931', 'R-HSA-164378']	Reactome_2016
12	O00459	Phosphatidylinositol 3-kinase regulatory subunit beta	Swiss-Prot	PIK3R2	7.0	['hsa04923', 'hsa04072', 'hsa04211', 'hsa04926', 'hsa04068', 'hsa04910', 'hsa04917']	KEGG_2019_Human	3.0	[' WP481', ' WP3915', ' WP61']	WikiPathways_2019_Human			
13	P42338	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	Swiss-Prot	PIK3CB	7.0	['hsa04923', 'hsa04072', 'hsa04211', 'hsa04926', 'hsa04068', 'hsa04910', 'hsa04917']	KEGG_2019_Human	2.0	[' WP481', ' WP3915']	WikiPathways_2019_Human			
14	P42336	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform	Swiss-Prot	PIK3CA	7.0	['hsa04923', 'hsa04072', 'hsa04211', 'hsa04926', 'hsa04068', 'hsa04910', 'hsa04917']	KEGG_2019_Human	2.0	[' WP481', ' WP3915']	WikiPathways_2019_Human			
15	Q5U091		TrEMBL	NRAS	7.0	['hsa04072', 'hsa04916', 'hsa04211', 'hsa04926', 'hsa04068', 'hsa04910', 'hsa04917']	KEGG_2019_Human	1.0	[' WP4321']	WikiPathways_2019_Human			
16	P27986	Phosphatidylinositol 3-kinase regulatory subunit alpha	Swiss-Prot	PIK3R1	7.0	['hsa04923', 'hsa04072', 'hsa04211', 'hsa04926', 'hsa04068', 'hsa04910', 'hsa04917']	KEGG_2019_Human	3.0	[' WP481', ' WP3915', ' WP61']	WikiPathways_2019_Human			
17	O60266	Adenylate cyclase type 3	Swiss-Prot	ADCY3	7.0	['hsa04923', 'hsa04072', 'hsa04916', 'hsa04211', 'hsa04926', 'hsa04962', 'hsa04727']	KEGG_2019_Human	2.0	[' WP4222', ' WP4321']	WikiPathways_2019_Human	5.0	['R-HSA-170660', 'R-HSA-170670', 'R-HSA-163615', 'R-HSA-111931', 'R-HSA-164378']	Reactome_2016
18	P22612	cAMP-dependent protein kinase catalytic subunit gamma	Swiss-Prot	PRKACG	7.0	['hsa04923', 'hsa04916', 'hsa04211', 'hsa04926', 'hsa04910', 'hsa04962', 'hsa04727']	KEGG_2019_Human	1.0	[' WP4321']	WikiPathways_2019_Human	3.0	['R-HSA-163615', 'R-HSA-111931', 'R-HSA-164378']	Reactome_2016
19	Q9Y243	RAC-gamma serine/threonine-protein kinase	Swiss-Prot	AKT3	7.0	['hsa04923', 'hsa04072', 'hsa04211', 'hsa04926', 'hsa04068', 'hsa04910', 'hsa04917']	KEGG_2019_Human						
20	P17612	cAMP-dependent protein kinase catalytic subunit alpha	Swiss-Prot	PRKACA	7.0	['hsa04923', 'hsa04916', 'hsa04211', 'hsa04926', 'hsa04910', 'hsa04962', 'hsa04727']	KEGG_2019_Human	1.0	[' WP4321']	WikiPathways_2019_Human	3.0	['R-HSA-163615', 'R-HSA-111931', 'R-HSA-164378']	Reactome_2016
21	Q08828	Adenylate cyclase type 1	Swiss-Prot	ADCY1	6.0	['hsa04923', 'hsa04072', 'hsa04916', 'hsa04211', 'hsa04926', 'hsa04727']	KEGG_2019_Human	2.0	[' WP4222', ' WP4321']	WikiPathways_2019_Human	5.0	['R-HSA-170660', 'R-HSA-170670', 'R-HSA-163615', 'R-HSA-111931', 'R-HSA-164378']	Reactome_2016
