	Uniprot	ProteinName	Reviewed	GeneName	CommonPathways_KEGG_2019_Human	Pathways_KEGG_2019_Human	PathwaysDB_KEGG_2019_Human	CommonPathways_WikiPathways_2019_Human	Pathways_WikiPathways_2019_Human	PathwaysDB_WikiPathways_2019_Human	CommonPathways_Reactome_2016	Pathways_Reactome_2016	PathwaysDB_Reactome_2016
0	P36402	Transcription factor 7	Swiss-Prot	TCF7	5.0	['hsa04550', 'hsa04390', 'hsa04310', 'hsa05217', 'hsa04520']	KEGG_2019_Human	5.0	[' WP4258', ' WP428', ' WP2853', ' WP399', ' WP4336']	WikiPathways_2019_Human	2.0	['R-HSA-4086398', 'R-HSA-4411364']	Reactome_2016
1	P35222	Catenin beta-1	Swiss-Prot	CTNNB1	5.0	['hsa04550', 'hsa04390', 'hsa04310', 'hsa05217', 'hsa04520']	KEGG_2019_Human	9.0	[' WP3876', ' WP236', ' WP4258', ' WP428', ' WP2858', ' WP2853', ' WP2064', ' WP399', ' WP4336']	WikiPathways_2019_Human	6.0	['R-HSA-4086398', 'R-HSA-4411364', 'R-HSA-418990', 'R-HSA-446728', 'R-HSA-400508', 'R-HSA-1266738']	Reactome_2016
2	P22612	cAMP-dependent protein kinase catalytic subunit gamma	Swiss-Prot	PRKACG	4.0	['hsa05030', 'hsa04310', 'hsa04724', 'hsa04923']	KEGG_2019_Human				1.0	['R-HSA-1266738']	Reactome_2016
3	Q9NQB0	Transcription factor 7-like 2	Swiss-Prot	TCF7L2	4.0	['hsa04390', 'hsa04310', 'hsa05217', 'hsa04520']	KEGG_2019_Human	4.0	[' WP4258', ' WP428', ' WP399', ' WP4336']	WikiPathways_2019_Human	3.0	['R-HSA-4086398', 'R-HSA-4411364', 'R-HSA-400508']	Reactome_2016
4	Q93098	Protein Wnt-8b	Swiss-Prot	WNT8B	4.0	['hsa04550', 'hsa04390', 'hsa04310', 'hsa05217']	KEGG_2019_Human						
5	P41221	Protein Wnt-5a	Swiss-Prot	WNT5A	4.0	['hsa04550', 'hsa04390', 'hsa04310', 'hsa05217']	KEGG_2019_Human	4.0	[' WP4258', ' WP428', ' WP399', ' WP4336']	WikiPathways_2019_Human	1.0	['R-HSA-4086398']	Reactome_2016
6	Q14332	Frizzled-2	Swiss-Prot	FZD2	4.0	['hsa04550', 'hsa04390', 'hsa04310', 'hsa05217']	KEGG_2019_Human	4.0	[' WP4258', ' WP428', ' WP399', ' WP4336']	WikiPathways_2019_Human	1.0	['R-HSA-4086398']	Reactome_2016
7	Q9H1J7	Protein Wnt-5b	Swiss-Prot	WNT5B	4.0	['hsa04550', 'hsa04390', 'hsa04310', 'hsa05217']	KEGG_2019_Human	5.0	[' WP236', ' WP4258', ' WP428', ' WP399', ' WP4336']	WikiPathways_2019_Human			
8	Q93097	Protein Wnt-2b	Swiss-Prot	WNT2B	4.0	['hsa04550', 'hsa04390', 'hsa04310', 'hsa05217']	KEGG_2019_Human	4.0	[' WP4258', ' WP428', ' WP399', ' WP4336']	WikiPathways_2019_Human			
9	Q9UP38	Frizzled-1	Swiss-Prot	FZD1	4.0	['hsa04550', 'hsa04390', 'hsa04310', 'hsa05217']	KEGG_2019_Human	5.0	[' WP236', ' WP4258', ' WP428', ' WP399', ' WP4336']	WikiPathways_2019_Human			
