	Uniprot	ProteinName	Reviewed	GeneName	CommonPathways_KEGG_2019_Human	Pathways_KEGG_2019_Human	PathwaysDB_KEGG_2019_Human	CommonPathways_WikiPathways_2019_Human	Pathways_WikiPathways_2019_Human	PathwaysDB_WikiPathways_2019_Human	CommonPathways_Reactome_2016	Pathways_Reactome_2016	PathwaysDB_Reactome_2016
0	P17568	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	Swiss-Prot	NDUFB7	6.0	['hsa05016', 'hsa04714', 'hsa05010', 'hsa00190', 'hsa05012', 'hsa04932']	KEGG_2019_Human	4.0	[' WP111', ' WP4396', ' WP4324', ' WP623']	WikiPathways_2019_Human			
1	P08574	Cytochrome c1, heme protein, mitochondrial	Swiss-Prot	CYC1	6.0	['hsa05016', 'hsa04714', 'hsa05010', 'hsa00190', 'hsa05012', 'hsa04932']	KEGG_2019_Human	1.0	[' WP4396']	WikiPathways_2019_Human			
2	Q6YFQ2	Cytochrome c oxidase subunit 6B2	Swiss-Prot	COX6B2	6.0	['hsa05016', 'hsa04714', 'hsa05010', 'hsa00190', 'hsa05012', 'hsa04932']	KEGG_2019_Human	1.0	[' WP4396']	WikiPathways_2019_Human			
3	O43678	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	Swiss-Prot	NDUFA2	6.0	['hsa05016', 'hsa04714', 'hsa05010', 'hsa00190', 'hsa05012', 'hsa04932']	KEGG_2019_Human	4.0	[' WP111', ' WP4396', ' WP4324', ' WP623']	WikiPathways_2019_Human			
4	O43677	NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial	Swiss-Prot	NDUFC1	6.0	['hsa05016', 'hsa04714', 'hsa05010', 'hsa00190', 'hsa05012', 'hsa04932']	KEGG_2019_Human	4.0	[' WP111', ' WP4396', ' WP4324', ' WP623']	WikiPathways_2019_Human			
5	O43676	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	Swiss-Prot	NDUFB3	6.0	['hsa05016', 'hsa04714', 'hsa05010', 'hsa00190', 'hsa05012', 'hsa04932']	KEGG_2019_Human	3.0	[' WP111', ' WP4396', ' WP4324']	WikiPathways_2019_Human			
6	O43674	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	Swiss-Prot	NDUFB5	6.0	['hsa05016', 'hsa04714', 'hsa05010', 'hsa00190', 'hsa05012', 'hsa04932']	KEGG_2019_Human	4.0	[' WP111', ' WP4396', ' WP4324', ' WP623']	WikiPathways_2019_Human			
7	Q9P0J0	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	Swiss-Prot	NDUFA13	6.0	['hsa05016', 'hsa04714', 'hsa05010', 'hsa00190', 'hsa05012', 'hsa04932']	KEGG_2019_Human	2.0	[' WP4396', ' WP4324']	WikiPathways_2019_Human			
8	Q96KJ9	Cytochrome c oxidase subunit 4 isoform 2, mitochondrial	Swiss-Prot	COX4I2	6.0	['hsa05016', 'hsa04714', 'hsa05010', 'hsa00190', 'hsa05012', 'hsa04932']	KEGG_2019_Human	1.0	[' WP4396']	WikiPathways_2019_Human			
9	O43181	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	Swiss-Prot	NDUFS4	6.0	['hsa05016', 'hsa04714', 'hsa05010', 'hsa00190', 'hsa05012', 'hsa04932']	KEGG_2019_Human	4.0	[' WP111', ' WP4396', ' WP4324', ' WP623']	WikiPathways_2019_Human			
