	Uniprot	ProteinName	Reviewed	GeneName	CommonPathways_KEGG_2019_Human	Pathways_KEGG_2019_Human	PathwaysDB_KEGG_2019_Human	CommonPathways_WikiPathways_2019_Human	Pathways_WikiPathways_2019_Human	PathwaysDB_WikiPathways_2019_Human	CommonPathways_Reactome_2016	Pathways_Reactome_2016	PathwaysDB_Reactome_2016
0	A0A1V0E3Q3		TrEMBL	HLA-DOA	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human						
1	P04440	HLA class II histocompatibility antigen, DP beta 1 chain	Swiss-Prot	HLA-DPB1	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human	1.0	[' WP2328']	WikiPathways_2019_Human	2.0	['R-HSA-168256', 'R-HSA-877300']	Reactome_2016
2	P13765	HLA class II histocompatibility antigen, DO beta chain	Swiss-Prot	HLA-DOB	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human	1.0	[' WP2328']	WikiPathways_2019_Human	1.0	['R-HSA-168256']	Reactome_2016
3	P01920	HLA class II histocompatibility antigen, DQ beta 1 chain	Swiss-Prot	HLA-DQB1	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human				2.0	['R-HSA-168256', 'R-HSA-877300']	Reactome_2016
4	P01909	HLA class II histocompatibility antigen, DQ alpha 1 chain	Swiss-Prot	HLA-DQA1	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human	1.0	[' WP2328']	WikiPathways_2019_Human	2.0	['R-HSA-168256', 'R-HSA-877300']	Reactome_2016
5	P01906	HLA class II histocompatibility antigen, DQ alpha 2 chain	Swiss-Prot	HLA-DQA2	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human	1.0	[' WP2328']	WikiPathways_2019_Human	2.0	['R-HSA-168256', 'R-HSA-877300']	Reactome_2016
6	P01903	HLA class II histocompatibility antigen, DR alpha chain	Swiss-Prot	HLA-DRA	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human	1.0	[' WP2328']	WikiPathways_2019_Human	2.0	['R-HSA-168256', 'R-HSA-877300']	Reactome_2016
7	P28068	HLA class II histocompatibility antigen, DM beta chain	Swiss-Prot	HLA-DMB	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human	1.0	[' WP2328']	WikiPathways_2019_Human	1.0	['R-HSA-168256']	Reactome_2016
8	P06340	HLA class II histocompatibility antigen, DO alpha chain	Swiss-Prot	HLA-DOA	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human	1.0	[' WP2328']	WikiPathways_2019_Human	1.0	['R-HSA-168256']	Reactome_2016
9	Q8MH44		TrEMBL	HLA-DQA1	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human						
10	A0A1V0E3S7		TrEMBL	HLA-DOA	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human						
11	A0A1V0E3S6		TrEMBL	HLA-DOA	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human						
12	A0A1V0E3S4		TrEMBL	HLA-DOA	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human						
13	A0A1V0E3R3		TrEMBL	HLA-DOA	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human						
14	A0A1V0E3Q5		TrEMBL	HLA-DOA	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human						
15	A0A1V0E3Q4		TrEMBL	HLA-DOA	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human						
16	P13762	HLA class II histocompatibility antigen, DR beta 4 chain	Swiss-Prot	HLA-DRB4	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human				2.0	['R-HSA-168256', 'R-HSA-877300']	Reactome_2016
17	A0A1V0E3P9		TrEMBL	HLA-DOA	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human						
18	P20036	HLA class II histocompatibility antigen, DP alpha 1 chain	Swiss-Prot	HLA-DPA1	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human	1.0	[' WP2328']	WikiPathways_2019_Human	2.0	['R-HSA-168256', 'R-HSA-877300']	Reactome_2016
19	A0A1V0E3P6		TrEMBL	HLA-DOA	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human						
20	A0A1V0E3P1		TrEMBL	HLA-DOA	10.0	['hsa05152', 'hsa05150', 'hsa05145', 'hsa04145', 'hsa05140', 'hsa05323', 'hsa04612', 'hsa05321', 'hsa04640', 'hsa05310']	KEGG_2019_Human						
