	Uniprot	ProteinName	Reviewed	GeneName	CommonPathways_KEGG_2019_Human	Pathways_KEGG_2019_Human	PathwaysDB_KEGG_2019_Human	CommonPathways_WikiPathways_2019_Human	Pathways_WikiPathways_2019_Human	PathwaysDB_WikiPathways_2019_Human	CommonPathways_Reactome_2016	Pathways_Reactome_2016	PathwaysDB_Reactome_2016
0	Q5Y7D1	HLA class II histocompatibility antigen DR beta chain	TrEMBL	HLA-DRB1	6.0	['hsa05150', 'hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human						
1	P01920	HLA class II histocompatibility antigen, DQ beta 1 chain	Swiss-Prot	HLA-DQB1	6.0	['hsa05150', 'hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human				2.0	['R-HSA-913531', 'R-HSA-877300']	Reactome_2016
2	P79483	HLA class II histocompatibility antigen, DR beta 3 chain	Swiss-Prot	HLA-DRB3	6.0	['hsa05150', 'hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human				2.0	['R-HSA-913531', 'R-HSA-877300']	Reactome_2016
3	P06340	HLA class II histocompatibility antigen, DO alpha chain	Swiss-Prot	HLA-DOA	6.0	['hsa05150', 'hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human	2.0	['WP2328', 'WP4217']	WikiPathways_2019_Human			
4	Q31604	DMA protein	TrEMBL	DMA	6.0	['hsa05150', 'hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human	2.0	['WP2328', 'WP4217']	WikiPathways_2019_Human			
5	P28068	HLA class II histocompatibility antigen, DM beta chain	Swiss-Prot	HLA-DMB	6.0	['hsa05150', 'hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human	2.0	['WP2328', 'WP4217']	WikiPathways_2019_Human			
6	P13765	HLA class II histocompatibility antigen, DO beta chain	Swiss-Prot	HLA-DOB	6.0	['hsa05150', 'hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human	2.0	['WP2328', 'WP4217']	WikiPathways_2019_Human			
7	Q30154	HLA class II histocompatibility antigen, DR beta 5 chain	Swiss-Prot	HLA-DRB5	6.0	['hsa05150', 'hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human	2.0	['WP2328', 'WP4217']	WikiPathways_2019_Human	2.0	['R-HSA-913531', 'R-HSA-877300']	Reactome_2016
8	P04440	HLA class II histocompatibility antigen, DP beta 1 chain	Swiss-Prot	HLA-DPB1	6.0	['hsa05150', 'hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human	2.0	['WP2328', 'WP4217']	WikiPathways_2019_Human	2.0	['R-HSA-913531', 'R-HSA-877300']	Reactome_2016
9	P13762	HLA class II histocompatibility antigen, DR beta 4 chain	Swiss-Prot	HLA-DRB4	6.0	['hsa05150', 'hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human				2.0	['R-HSA-913531', 'R-HSA-877300']	Reactome_2016
10	P20036	HLA class II histocompatibility antigen, DP alpha 1 chain	Swiss-Prot	HLA-DPA1	6.0	['hsa05150', 'hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human	2.0	['WP2328', 'WP4217']	WikiPathways_2019_Human	2.0	['R-HSA-913531', 'R-HSA-877300']	Reactome_2016
11	P01909	HLA class II histocompatibility antigen, DQ alpha 1 chain	Swiss-Prot	HLA-DQA1	6.0	['hsa05150', 'hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human	2.0	['WP2328', 'WP4217']	WikiPathways_2019_Human	2.0	['R-HSA-913531', 'R-HSA-877300']	Reactome_2016
12	P01906	HLA class II histocompatibility antigen, DQ alpha 2 chain	Swiss-Prot	HLA-DQA2	6.0	['hsa05150', 'hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human	2.0	['WP2328', 'WP4217']	WikiPathways_2019_Human	2.0	['R-HSA-913531', 'R-HSA-877300']	Reactome_2016
13	P01903	HLA class II histocompatibility antigen, DR alpha chain	Swiss-Prot	HLA-DRA	6.0	['hsa05150', 'hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human	2.0	['WP2328', 'WP4217']	WikiPathways_2019_Human	2.0	['R-HSA-913531', 'R-HSA-877300']	Reactome_2016
14	P42081	T-lymphocyte activation antigen CD86	Swiss-Prot	CD86	5.0	['hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human	1.0	['WP2328']	WikiPathways_2019_Human			
15	P10747	T-cell-specific surface glycoprotein CD28	Swiss-Prot	CD28	5.0	['hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human	1.0	['WP2328']	WikiPathways_2019_Human			
16	P33681	T-lymphocyte activation antigen CD80	Swiss-Prot	CD80	5.0	['hsa05322', 'hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human	1.0	['WP2328']	WikiPathways_2019_Human			
17	P01375	Tumor necrosis factor	Swiss-Prot	TNF	4.0	['hsa04930', 'hsa05322', 'hsa05330', 'hsa05332']	KEGG_2019_Human	2.0	['WP2328', 'WP706']	WikiPathways_2019_Human			
18	P17693	HLA class I histocompatibility antigen, alpha chain G	Swiss-Prot	HLA-G	4.0	['hsa05330', 'hsa05332', 'hsa04514', 'hsa05416']	KEGG_2019_Human	2.0	['WP2328', 'WP4217']	WikiPathways_2019_Human	2.0	['R-HSA-913531', 'R-HSA-877300']	Reactome_2016
