	Uniprot	ProteinName	Reviewed	GeneName	CommonPathways_KEGG_2019_Human	Pathways_KEGG_2019_Human	PathwaysDB_KEGG_2019_Human	CommonPathways_WikiPathways_2019_Human	Pathways_WikiPathways_2019_Human	PathwaysDB_WikiPathways_2019_Human	CommonPathways_Reactome_2016	Pathways_Reactome_2016	PathwaysDB_Reactome_2016
0	P79483	HLA class II histocompatibility antigen, DR beta 3 chain	Swiss-Prot	HLA-DRB3	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
1	Q31604		TrEMBL	DMA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
2	A0A1V0E3S7		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
3	P28068	HLA class II histocompatibility antigen, DM beta chain	Swiss-Prot	HLA-DMB	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
4	P20036	HLA class II histocompatibility antigen, DP alpha 1 chain	Swiss-Prot	HLA-DPA1	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
5	P13765	HLA class II histocompatibility antigen, DO beta chain	Swiss-Prot	HLA-DOB	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
6	P13762	HLA class II histocompatibility antigen, DR beta 4 chain	Swiss-Prot	HLA-DRB4	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
7	Q30154	HLA class II histocompatibility antigen, DR beta 5 chain	Swiss-Prot	HLA-DRB5	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
8	P06340	HLA class II histocompatibility antigen, DO alpha chain	Swiss-Prot	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
9	A0A1V0E3S4		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
10	P04440	HLA class II histocompatibility antigen, DP beta 1 chain	Swiss-Prot	HLA-DPB1	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
11	Q5Y7D1		TrEMBL	HLA-DRB1	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
12	P01920	HLA class II histocompatibility antigen, DQ beta 1 chain	Swiss-Prot	HLA-DQB1	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
13	P01909	HLA class II histocompatibility antigen, DQ alpha 1 chain	Swiss-Prot	HLA-DQA1	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
14	P01906	HLA class II histocompatibility antigen, DQ alpha 2 chain	Swiss-Prot	HLA-DQA2	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
15	P01903	HLA class II histocompatibility antigen, DR alpha chain	Swiss-Prot	HLA-DRA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
16	A0A1V0E3S6		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
17	Q8MH44		TrEMBL	HLA-DQA1	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
18	A0A1V0E3R3		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
19	A0A1V0E3P9		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
20	A0A1V0E3N1		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
21	A0A1V0E3N3		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
22	A0A1V0E3N6		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
23	A0A1V0E3P0		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
24	A0A1V0E3Q5		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
25	A0A1V0E3P6		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
26	A0A1V0E3P8		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
27	A0A1V0E3P1		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
28	A0A1V0E3Q3		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
29	A0A1V0E3Q4		TrEMBL	HLA-DOA	5.0	['hsa04514', 'hsa05140', 'hsa04640', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
30	P01375	Tumor necrosis factor	Swiss-Prot	TNF	4.0	['hsa05140', 'hsa04930', 'hsa04640', 'hsa05330']	KEGG_2019_Human	2.0	[' WP4481', ' WP2328']	WikiPathways_2019_Human			
31	P17693	HLA class I histocompatibility antigen, alpha chain G	Swiss-Prot	HLA-G	3.0	['hsa04514', 'hsa05330', 'hsa05416']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
32	P04439	HLA class I histocompatibility antigen, A alpha chain	Swiss-Prot	HLA-A	3.0	['hsa04514', 'hsa05330', 'hsa05416']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
33	P01579	Interferon gamma	Swiss-Prot	IFNG	3.0	['hsa03050', 'hsa05140', 'hsa05330']	KEGG_2019_Human	1.0	[' WP2328']	WikiPathways_2019_Human			
34	P01889	HLA class I histocompatibility antigen, B alpha chain	Swiss-Prot	HLA-B	3.0	['hsa04514', 'hsa05330', 'hsa05416']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
35	P33681	T-lymphocyte activation antigen CD80	Swiss-Prot	CD80	3.0	['hsa04514', 'hsa05330', 'hsa05416']	KEGG_2019_Human	1.0	[' WP2328']	WikiPathways_2019_Human			
36	P30511	HLA class I histocompatibility antigen, alpha chain F	Swiss-Prot	HLA-F	3.0	['hsa04514', 'hsa05330', 'hsa05416']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
37	P29965	CD40 ligand	Swiss-Prot	CD40LG	3.0	['hsa04514', 'hsa05330', 'hsa05416']	KEGG_2019_Human	1.0	[' WP2328']	WikiPathways_2019_Human			
38	P28482	Mitogen-activated protein kinase 1	Swiss-Prot	MAPK1	3.0	['hsa04540', 'hsa05140', 'hsa04930']	KEGG_2019_Human	3.0	[' WP3859', ' WP4481', ' WP4217']	WikiPathways_2019_Human			
39	Q6P2H9		TrEMBL	CD40	3.0	['hsa04514', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
40	P27361	Mitogen-activated protein kinase 3	Swiss-Prot	MAPK3	3.0	['hsa04540', 'hsa05140', 'hsa04930']	KEGG_2019_Human	3.0	[' WP3859', ' WP4481', ' WP4217']	WikiPathways_2019_Human			
41	P13747	HLA class I histocompatibility antigen, alpha chain E	Swiss-Prot	HLA-E	3.0	['hsa04514', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
42	P05107	Integrin beta-2	Swiss-Prot	ITGB2	3.0	['hsa04514', 'hsa05140', 'hsa05416']	KEGG_2019_Human						
43	P05112	Interleukin-4	Swiss-Prot	IL4	3.0	['hsa05140', 'hsa04640', 'hsa05330']	KEGG_2019_Human	2.0	[' WP4217', ' WP2328']	WikiPathways_2019_Human			
44	P25942	Tumor necrosis factor receptor superfamily member 5	Swiss-Prot	CD40	3.0	['hsa04514', 'hsa05330', 'hsa05416']	KEGG_2019_Human	1.0	[' WP2328']	WikiPathways_2019_Human			
45	Q499G7	Mitogen-activated protein kinase	TrEMBL	MAPK1	3.0	['hsa04540', 'hsa05140', 'hsa04930']	KEGG_2019_Human						
46	Q95HC2		TrEMBL	HLA-C	3.0	['hsa04514', 'hsa05330', 'hsa05416']	KEGG_2019_Human						
