	Uniprot	ProteinName	Reviewed	GeneName	CommonPathways_KEGG_2019_Human	Pathways_KEGG_2019_Human	PathwaysDB_KEGG_2019_Human	CommonPathways_WikiPathways_2019_Human	Pathways_WikiPathways_2019_Human	PathwaysDB_WikiPathways_2019_Human	CommonPathways_Reactome_2016	Pathways_Reactome_2016	PathwaysDB_Reactome_2016
0	Q13936	Voltage-dependent L-type calcium channel subunit alpha-1C	Swiss-Prot	CACNA1C	6.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04010', 'hsa04724']	KEGG_2019_Human	1.0	[' WP382']	WikiPathways_2019_Human			
1	Q01970	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3	Swiss-Prot	PLCB3	6.0	['hsa04723', 'hsa04728', 'hsa00562', 'hsa04934', 'hsa04725', 'hsa04724']	KEGG_2019_Human	1.0	[' WP3958']	WikiPathways_2019_Human	3.0	['R-HSA-1483249', 'R-HSA-112316', 'R-HSA-1855204']	Reactome_2016
2	Q14571	Inositol 1,4,5-trisphosphate receptor type 2	Swiss-Prot	ITPR2	6.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04724', 'hsa04210']	KEGG_2019_Human						
3	Q14643	Inositol 1,4,5-trisphosphate receptor type 1	Swiss-Prot	ITPR1	6.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04724', 'hsa04210']	KEGG_2019_Human						
4	P17612	cAMP-dependent protein kinase catalytic subunit alpha	Swiss-Prot	PRKACA	6.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04010', 'hsa04724']	KEGG_2019_Human	1.0	[' WP382']	WikiPathways_2019_Human	1.0	['R-HSA-112316']	Reactome_2016
5	Q15147	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4	Swiss-Prot	PLCB4	6.0	['hsa04723', 'hsa04728', 'hsa00562', 'hsa04934', 'hsa04725', 'hsa04724']	KEGG_2019_Human				2.0	['R-HSA-1483249', 'R-HSA-1855204']	Reactome_2016
6	Q01668	Voltage-dependent L-type calcium channel subunit alpha-1D	Swiss-Prot	CACNA1D	6.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04010', 'hsa04724']	KEGG_2019_Human	1.0	[' WP382']	WikiPathways_2019_Human			
7	P28482	Mitogen-activated protein kinase 1	Swiss-Prot	MAPK1	6.0	['hsa04723', 'hsa04934', 'hsa04725', 'hsa04010', 'hsa04724', 'hsa04210']	KEGG_2019_Human	3.0	[' WP437', ' WP382', ' WP51']	WikiPathways_2019_Human	1.0	['R-HSA-112316']	Reactome_2016
8	Q499G7	Mitogen-activated protein kinase	TrEMBL	MAPK1	6.0	['hsa04723', 'hsa04934', 'hsa04725', 'hsa04010', 'hsa04724', 'hsa04210']	KEGG_2019_Human						
9	P27361	Mitogen-activated protein kinase 3	Swiss-Prot	MAPK3	6.0	['hsa04723', 'hsa04934', 'hsa04725', 'hsa04010', 'hsa04724', 'hsa04210']	KEGG_2019_Human	2.0	[' WP382', ' WP51']	WikiPathways_2019_Human	1.0	['R-HSA-112316']	Reactome_2016
10	Q59ES2		TrEMBL		6.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04724', 'hsa04210']	KEGG_2019_Human						
11	P22694	cAMP-dependent protein kinase catalytic subunit beta	Swiss-Prot	PRKACB	6.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04010', 'hsa04724']	KEGG_2019_Human	1.0	[' WP382']	WikiPathways_2019_Human	1.0	['R-HSA-112316']	Reactome_2016
12	P22612	cAMP-dependent protein kinase catalytic subunit gamma	Swiss-Prot	PRKACG	6.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04010', 'hsa04724']	KEGG_2019_Human	1.0	[' WP382']	WikiPathways_2019_Human	1.0	['R-HSA-112316']	Reactome_2016
13	Q5V9X9		TrEMBL	CACNA1C	6.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04010', 'hsa04724']	KEGG_2019_Human						
14	D3DT10		TrEMBL	PRKACB	6.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04010', 'hsa04724']	KEGG_2019_Human						
15	Q9NQ66	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1	Swiss-Prot	PLCB1	6.0	['hsa04723', 'hsa04728', 'hsa00562', 'hsa04934', 'hsa04725', 'hsa04724']	KEGG_2019_Human	1.0	[' WP3958']	WikiPathways_2019_Human	3.0	['R-HSA-1483249', 'R-HSA-112316', 'R-HSA-1855204']	Reactome_2016
16	Q00722	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2	Swiss-Prot	PLCB2	6.0	['hsa04723', 'hsa04728', 'hsa00562', 'hsa04934', 'hsa04725', 'hsa04724']	KEGG_2019_Human	1.0	[' WP3958']	WikiPathways_2019_Human	3.0	['R-HSA-1483249', 'R-HSA-112316', 'R-HSA-1855204']	Reactome_2016
17	Q14573	Inositol 1,4,5-trisphosphate receptor type 3	Swiss-Prot	ITPR3	6.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04724', 'hsa04210']	KEGG_2019_Human	1.0	[' WP3958']	WikiPathways_2019_Human			
18	P05771	Protein kinase C beta type	Swiss-Prot	PRKCB	5.0	['hsa04723', 'hsa04728', 'hsa04725', 'hsa04010', 'hsa04724']	KEGG_2019_Human	1.0	[' WP437']	WikiPathways_2019_Human	1.0	['R-HSA-112316']	Reactome_2016
19	P05129	Protein kinase C gamma type	Swiss-Prot	PRKCG	5.0	['hsa04723', 'hsa04728', 'hsa04725', 'hsa04010', 'hsa04724']	KEGG_2019_Human	1.0	[' WP382']	WikiPathways_2019_Human	1.0	['R-HSA-112316']	Reactome_2016
20	Q9UBI6	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12	Swiss-Prot	GNG12	5.0	['hsa04723', 'hsa04728', 'hsa04725', 'hsa04010', 'hsa04724']	KEGG_2019_Human	2.0	[' WP382', ' WP51']	WikiPathways_2019_Human	5.0	['R-HSA-112316', 'R-HSA-1296041', 'R-HSA-997272', 'R-HSA-1296059', 'R-HSA-1296071']	Reactome_2016
21	O00555	Voltage-dependent P/Q-type calcium channel subunit alpha-1A	Swiss-Prot	CACNA1A	5.0	['hsa04723', 'hsa04728', 'hsa04725', 'hsa04010', 'hsa04724']	KEGG_2019_Human	1.0	[' WP382']	WikiPathways_2019_Human	1.0	['R-HSA-112316']	Reactome_2016
22	P08754	Guanine nucleotide-binding protein G(i) subunit alpha	Swiss-Prot	GNAI3	5.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04724']	KEGG_2019_Human				1.0	['R-HSA-112316']	Reactome_2016
23	P50148	Guanine nucleotide-binding protein G(q) subunit alpha	Swiss-Prot	GNAQ	5.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04724']	KEGG_2019_Human						
24	P17252	Protein kinase C alpha type	Swiss-Prot	PRKCA	5.0	['hsa04723', 'hsa04728', 'hsa04725', 'hsa04010', 'hsa04724']	KEGG_2019_Human	2.0	[' WP437', ' WP382']	WikiPathways_2019_Human	1.0	['R-HSA-112316']	Reactome_2016
25	P18848	Cyclic AMP-dependent transcription factor ATF-4	Swiss-Prot	ATF4	5.0	['hsa04728', 'hsa04934', 'hsa04725', 'hsa04010', 'hsa04210']	KEGG_2019_Human	1.0	[' WP382']	WikiPathways_2019_Human			
26	P04899	Guanine nucleotide-binding protein G(i) subunit alpha-2	Swiss-Prot	GNAI2	5.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04724']	KEGG_2019_Human				1.0	['R-HSA-112316']	Reactome_2016
27	O95622	Adenylate cyclase type 5	Swiss-Prot	ADCY5	5.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04724']	KEGG_2019_Human				1.0	['R-HSA-112316']	Reactome_2016
28	Q7Z727		TrEMBL	PRKCA	5.0	['hsa04723', 'hsa04728', 'hsa04725', 'hsa04010', 'hsa04724']	KEGG_2019_Human						
29	P63096	Guanine nucleotide-binding protein G(i) subunit alpha-1	Swiss-Prot	GNAI1	5.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04724']	KEGG_2019_Human				1.0	['R-HSA-112316']	Reactome_2016
30	A0A384P5Q5	Adenylate cyclase	TrEMBL		5.0	['hsa04723', 'hsa04728', 'hsa04934', 'hsa04725', 'hsa04724']	KEGG_2019_Human						
31	P62879	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	Swiss-Prot	GNB2	4.0	['hsa04723', 'hsa04728', 'hsa04725', 'hsa04724']	KEGG_2019_Human				5.0	['R-HSA-112316', 'R-HSA-1296041', 'R-HSA-997272', 'R-HSA-1296059', 'R-HSA-1296071']	Reactome_2016
32	Q9P2W3	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13	Swiss-Prot	GNG13	4.0	['hsa04723', 'hsa04728', 'hsa04725', 'hsa04724']	KEGG_2019_Human				1.0	['R-HSA-112316']	Reactome_2016
33	O60840	Voltage-dependent L-type calcium channel subunit alpha-1F	Swiss-Prot	CACNA1F	4.0	['hsa04723', 'hsa04934', 'hsa04725', 'hsa04010']	KEGG_2019_Human	1.0	[' WP382']	WikiPathways_2019_Human			
34	O14775	Guanine nucleotide-binding protein subunit beta-5	Swiss-Prot	GNB5	4.0	['hsa04723', 'hsa04728', 'hsa04725', 'hsa04724']	KEGG_2019_Human				1.0	['R-HSA-112316']	Reactome_2016
35	P09471	Guanine nucleotide-binding protein G(o) subunit alpha	Swiss-Prot	GNAO1	4.0	['hsa04723', 'hsa04728', 'hsa04725', 'hsa04724']	KEGG_2019_Human						
36	P40145	Adenylate cyclase type 8	Swiss-Prot	ADCY8	4.0	['hsa04723', 'hsa04934', 'hsa04725', 'hsa04724']	KEGG_2019_Human				1.0	['R-HSA-112316']	Reactome_2016
37	Q9HAV0	Guanine nucleotide-binding protein subunit beta-4	Swiss-Prot	GNB4	4.0	['hsa04723', 'hsa04728', 'hsa04725', 'hsa04724']	KEGG_2019_Human				1.0	['R-HSA-112316']	Reactome_2016
38	O14610	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2	Swiss-Prot	GNGT2	4.0	['hsa04723', 'hsa04728', 'hsa04725', 'hsa04724']	KEGG_2019_Human				5.0	['R-HSA-112316', 'R-HSA-1296041', 'R-HSA-997272', 'R-HSA-1296059', 'R-HSA-1296071']	Reactome_2016
39	Q8NFM4	Adenylate cyclase type 4	Swiss-Prot	ADCY4	4.0	['hsa04723', 'hsa04934', 'hsa04725', 'hsa04724']	KEGG_2019_Human				1.0	['R-HSA-112316']	Reactome_2016
40	P42262	Glutamate receptor 2	Swiss-Prot	GRIA2	4.0	['hsa04723', 'hsa04728', 'hsa04724', 'hsa05014']	KEGG_2019_Human				1.0	['R-HSA-112316']	Reactome_2016
41	P62873	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	Swiss-Prot	GNB1	4.0	['hsa04723', 'hsa04728', 'hsa04725', 'hsa04724']	KEGG_2019_Human				5.0	['R-HSA-112316', 'R-HSA-1296041', 'R-HSA-997272', 'R-HSA-1296059', 'R-HSA-1296071']	Reactome_2016
42	P01100	Proto-oncogene c-Fos	Swiss-Prot	FOS	4.0	['hsa04728', 'hsa04725', 'hsa04010', 'hsa04210']	KEGG_2019_Human	3.0	[' WP437', ' WP382', ' WP3611']	WikiPathways_2019_Human			
43	Q9UK08	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8	Swiss-Prot	GNG8	4.0	['hsa04723', 'hsa04728', 'hsa04725', 'hsa04724']	KEGG_2019_Human				5.0	['R-HSA-112316', 'R-HSA-1296041', 'R-HSA-997272', 'R-HSA-1296059', 'R-HSA-1296071']	Reactome_2016
